Педофилия,health_cart
Имеется генетическая болезнь (любая),health_cart
Шизофрения (Начальная стадия),health_cart
Аутизм,health_cart
Шизофрения (Тяжёлая стадия),health_cart
Кариес,health_cart
Биполярное расстройство,health_cart
Бесплодность,health_cart
Слабоумие,health_cart
Инвалид (отсутствие ног),health_cart
Инвалид (отсутствие рук),health_cart
Отсутствие руки,health_cart
СПИД,health_cart
Отсутствие ноги,health_cart
Туберкулёз,health_cart
Увечье лица,health_cart
СOVID-19,health_cart
Травма глаза,health_cart
Сифилис,health_cart
Глухой на одно ухо,health_cart
Психопатия,health_cart
Простужен,health_cart
Депрессия,health_cart
Абсолютно глухой,health_cart
Лёгкое ожирение,health_cart
Немой,health_cart
Паранойя (лёгкая),health_cart
Паранойя (сильная),health_cart
Сколиоз,health_cart
Слепота (один глаз),health_cart
Слепота (полная),health_cart
Грыжа,health_cart
Поражение сердечной мышцы,health_cart
Ячмень,health_cart
Отит (воспаление уха),health_cart
Синдром Дауна,health_cart
ДЦП,health_cart
Инсульт (нарушение кровообращения в мозгу),health_cart
Медвежья болезнь (Непроизвольное выделение мочи),health_cart
Цистит (воспаление мочевого пузыря),health_cart
Цирроз печени,health_cart
Желтуха,health_cart
Ангина,health_cart
Рак (осталось жить 2 месяца),health_cart
Рак (начальная стадия),health_cart
Перелом конечности (любой),health_cart
ВИЧ.,health_cart
авитаминоз.,health_cart
алкоголизм.,health_cart
аллергия на животных.,health_cart
анорексия.,health_cart
астма.,health_cart
бессонница.,health_cart
биполярное расстройство.,health_cart
болезнь Альцгеймера.,health_cart
ветрянка.,health_cart
гайморит.,health_cart
гастрит.,health_cart
гемофилия.,health_cart
гепатит B.,health_cart
глаукома.,health_cart
глухонемота.,health_cart
дальтонизм.,health_cart
депрессия.,health_cart
диарея.,health_cart
заикание.,health_cart
кариес.,health_cart
косоглазие.,health_cart
межпозвоночная грыжа.,health_cart
мигрень.,health_cart
мочекаменная болезнь.,health_cart
наркомания.,health_cart
недержание мочи.,health_cart
ожирение.,health_cart
остеохондроз.,health_cart
отсутствие ноги.,health_cart
отсутствие руки.,health_cart
паранойя.,health_cart
плоскостопие.,health_cart
пневмония.,health_cart
простуда.,health_cart
псориаз.,health_cart
птичий грипп.,health_cart
рак крови.,health_cart
рак лёгкого.,health_cart
сахарный диабет второго типа.,health_cart
сахарный диабет первого типа.,health_cart
синдром Туретта.,health_cart
слепота.,health_cart
туберкулёз.,health_cart
умственная отсталость.,health_cart
цинга.,health_cart
шизофрения.,health_cart
эпилепсия.,health_cart
язва желудка.,health_cart
Полностью здоров.,health_cart
