Педофилия,health
Имеется Генетическая Болезнь (Любая),health
Шизофрения (Начальная Стадия),health
Аутизм,health
Шизофрения (Тяжёлая Стадия),health
Кариес,health
Биполярное Расстройство,health
Бесплодность,health
Слабоумие,health
Инвалид (Отсутствие Ног),health
Инвалид (Отсутствие Рук),health
Отсутствие Руки,health
СПИД,health
Отсутствие Ноги,health
Туберкулёз,health
Увечье Лица,health
СOVID-19,health
Травма Глаза,health
Сифилис,health
Глухой На Одно Ухо,health
Психопатия,health
Простужен,health
Депрессия,health
Абсолютно Глухой,health
Лёгкое Ожирение,health
Немой,health
Паранойя (Лёгкая),health
Паранойя (Сильная),health
Сколиоз,health
Слепота (Один Глаз),health
Слепота (Полная),health
Грыжа,health
Поражение Сердечной Мышцы,health
Ячмень,health
Отит (Воспаление Уха),health
Синдром Дауна,health
ДЦП,health
Инсульт (Нарушение Кровообращения В Мозгу),health
Медвежья Болезнь (Непроизвольное Выделение Мочи),health
Цистит (Воспаление Мочевого Пузыря),health
Цирроз Печени,health
Желтуха,health
Ангина,health
Рак (Осталось Жить 2 Месяца),health
Рак (Начальная Стадия),health
Перелом Конечности (Любой),health
ВИЧ.,health
Авитаминоз.,health
Алкоголизм.,health
Аллергия На Животных.,health
Анорексия.,health
Астма.,health
Бессонница.,health
Биполярное Расстройство.,health
Болезнь Альцгеймера.,health
Ветрянка.,health
Гайморит.,health
Гастрит.,health
Гемофилия.,health
Гепатит B.,health
Глаукома.,health
Глухонемота.,health
Дальтонизм.,health
Депрессия.,health
Диарея.,health
Заикание.,health
Кариес.,health
Косоглазие.,health
Межпозвоночная Грыжа.,health
Мигрень.,health
Мочекаменная Болезнь.,health
Наркомания.,health
Недержание Мочи.,health
Ожирение.,health
Остеохондроз.,health
Отсутствие Ноги.,health
Отсутствие Руки.,health
Паранойя.,health
Плоскостопие.,health
Пневмония.,health
Простуда.,health
Псориаз.,health
Птичий Грипп.,health
Рак Крови.,health
Рак Лёгкого.,health
Сахарный Диабет Второго Типа.,health
Сахарный Диабет Первого Типа.,health
Синдром Туретта.,health
Слепота.,health
Туберкулёз.,health
Умственная Отсталость.,health
Цинга.,health
Шизофрения.,health
Эпилепсия.,health
Язва Желудка.,health
Полностью Здоров.,health
Легкое Ожирение,health
